,loss,accuracy,val_loss,val_accuracy,lr
0,0.5531759262084961,0.741777777671814,0.561367928981781,0.7480000257492065,1e-04
1,0.3635508716106415,0.8475555777549744,0.5922545194625854,0.7599999904632568,1e-04
2,0.22820916771888733,0.9088888764381409,0.9793772101402283,0.6919999718666077,1e-04
3,0.15465816855430603,0.9368888735771179,0.5126112103462219,0.8600000143051147,1e-04
4,0.14263169467449188,0.9511111378669739,0.5237465500831604,0.7799999713897705,1e-04
5,0.11429549008607864,0.9591110944747925,0.9881643652915955,0.7480000257492065,1e-04
6,0.08456417173147202,0.9733333587646484,1.0565881729125977,0.7760000228881836,1e-04
7,0.1006770059466362,0.9626666903495789,0.47111982107162476,0.8640000224113464,1e-04
8,0.07942239195108414,0.9737777709960938,0.9360793232917786,0.8119999766349792,1e-04
9,0.09076663106679916,0.9679999947547913,0.7211141586303711,0.8119999766349792,1e-04
10,0.06666703522205353,0.97688889503479,0.6963323354721069,0.871999979019165,1e-04
11,0.08719298988580704,0.9728888869285583,0.4837178885936737,0.8519999980926514,1e-04
12,0.08393938839435577,0.9711111187934875,0.39382457733154297,0.8840000033378601,1e-04
13,0.058946769684553146,0.9795555472373962,0.48629841208457947,0.8600000143051147,1e-04
14,0.042315877974033356,0.984000027179718,0.4498561918735504,0.9120000004768372,1e-04
15,0.05897117033600807,0.9822221994400024,0.4641314446926117,0.8840000033378601,1e-04
16,0.043059706687927246,0.9866666793823242,0.5527963042259216,0.8920000195503235,1e-04
17,0.06417826563119888,0.9791111350059509,0.531940221786499,0.871999979019165,1e-04
18,0.04116418957710266,0.9879999756813049,0.6830494999885559,0.8640000224113464,1e-04
19,0.041861534118652344,0.9871110916137695,0.44946104288101196,0.8999999761581421,1e-04
20,0.050894904881715775,0.984000027179718,0.47782081365585327,0.8799999952316284,1e-04
21,0.05445243790745735,0.9804444313049316,0.5324077010154724,0.8759999871253967,1e-04
22,0.06843685358762741,0.97688889503479,0.5013352036476135,0.8759999871253967,1e-04
23,0.0436195507645607,0.9875555634498596,0.5003780722618103,0.8960000276565552,1e-04
24,0.042380161583423615,0.9888888597488403,0.6043502688407898,0.8840000033378601,1e-04
25,0.044111862778663635,0.9857777953147888,0.4828738868236542,0.8960000276565552,1e-04
26,0.04016407951712608,0.9888888597488403,0.5342792272567749,0.8880000114440918,1e-04
27,0.044245798140764236,0.9857777953147888,0.3554852306842804,0.9079999923706055,1e-04
28,0.04397823289036751,0.988444447517395,0.3273291289806366,0.9160000085830688,1e-04
29,0.0176130011677742,0.9946666955947876,0.33854687213897705,0.9279999732971191,1e-04
30,0.027601193636655807,0.9933333396911621,0.30360156297683716,0.9279999732971191,1e-04
31,0.04456648230552673,0.9835555553436279,0.4471680223941803,0.8679999709129333,1e-04
32,0.03103845939040184,0.9893333315849304,0.45330750942230225,0.8840000033378601,1e-04
33,0.035471491515636444,0.9888888597488403,0.4359259009361267,0.8960000276565552,1e-04
34,0.04223381727933884,0.9866666793823242,0.63533616065979,0.8799999952316284,1e-04
35,0.041742514818906784,0.9911110997200012,0.852500855922699,0.843999981880188,1e-04
36,0.034054990857839584,0.9893333315849304,0.8067631721496582,0.871999979019165,1e-04
37,0.015653720125555992,0.992888867855072,0.6825916171073914,0.8799999952316284,1e-04
38,0.0405699722468853,0.9915555715560913,0.41954854130744934,0.8759999871253967,1e-04
39,0.04159669578075409,0.9866666793823242,0.3270653486251831,0.8999999761581421,1e-04
40,0.03165380284190178,0.9906666874885559,0.4167111814022064,0.8960000276565552,1e-04
41,0.016091907396912575,0.9951111078262329,0.6049999594688416,0.8960000276565552,1e-04
42,0.014471204951405525,0.9942222237586975,0.7796937227249146,0.871999979019165,1e-04
43,0.04264562204480171,0.9853333234786987,0.47643494606018066,0.9039999842643738,1e-04
44,0.04667706415057182,0.9879999756813049,0.571351170539856,0.8840000033378601,1e-04
45,0.01991754211485386,0.9946666955947876,0.9295356869697571,0.8199999928474426,1e-04
46,0.015064663253724575,0.9946666955947876,0.536304235458374,0.8999999761581421,1e-04
47,0.031665388494729996,0.9888888597488403,0.583321213722229,0.9039999842643738,1e-04
48,0.07037314772605896,0.9804444313049316,0.5484537482261658,0.8999999761581421,1e-04
49,0.030583275482058525,0.9897778034210205,0.4914513826370239,0.8920000195503235,1e-04
